# YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,TIMEZONE,DELTA_UT1,DELTA_T,LONGITUDE,LATITUDE,ELEVATION,PRESSURE,TEMPERATURE,SLOPE,AZM_ROTATION,ATMOS_REFRACT,FUNCTION,# JULIAN DAY,L,B,R,H,DELTA PSI,DELTA EPSILON,EPSILON,ZENITH,AZIMUTH,INCIDENCE,DEL_E 
2023.0,1.0,18.0,23.0,40.0,0.0,2.0,0.0,69.18,4.35,52.0,16500.0,95.07,2.17,0.0,0.0,0.65,1.0,2459963.403,118.531,0.0,0.984,146.745,-0.003,0.002,23.438,139.27,128.058,139.27,0.0
2023.0,1.0,18.0,23.0,45.0,0.0,2.0,0.0,69.18,4.35,52.0,16500.0,95.07,2.17,0.0,0.0,0.65,1.0,2459963.406,118.534,0.0,0.984,147.995,-0.003,0.002,23.438,139.869,129.609,139.869,0.0
2023.0,1.0,18.0,23.0,50.0,0.0,2.0,0.0,69.18,4.35,52.0,16500.0,95.07,2.17,0.0,0.0,0.65,1.0,2459963.41,118.538,0.0,0.984,149.244,-0.003,0.002,23.438,140.454,131.192,140.454,0.0
2023.0,1.0,18.0,23.0,55.0,0.0,2.0,0.0,69.18,4.35,52.0,16500.0,95.07,2.17,0.0,0.0,0.65,1.0,2459963.413,118.541,0.0,0.984,150.494,-0.003,0.002,23.438,141.025,132.807,141.025,0.0
2023.0,1.0,18.0,0.0,0.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.417,117.526,0.0,0.984,151.824,-0.003,0.002,23.438,141.796,134.408,141.796,0.0
2023.0,1.0,18.0,0.0,5.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.42,117.53,0.0,0.984,153.074,-0.003,0.002,23.438,142.337,136.095,142.337,0.0
2023.0,1.0,18.0,0.0,10.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.424,117.534,0.0,0.984,154.323,-0.003,0.002,23.438,142.862,137.816,142.862,0.0
2023.0,1.0,18.0,0.0,15.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.427,117.537,0.0,0.984,155.573,-0.003,0.002,23.438,143.369,139.571,143.369,0.0
2023.0,1.0,18.0,0.0,20.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.431,117.541,0.0,0.984,156.823,-0.003,0.002,23.438,143.858,141.362,143.858,0.0
2023.0,1.0,18.0,0.0,25.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.434,117.544,0.0,0.984,158.073,-0.003,0.002,23.438,144.328,143.187,144.328,0.0
2023.0,1.0,18.0,0.0,30.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.438,117.548,0.0,0.984,159.322,-0.003,0.002,23.438,144.778,145.048,144.778,0.0
2023.0,1.0,18.0,0.0,35.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.441,117.551,0.0,0.984,160.572,-0.003,0.002,23.438,145.208,146.944,145.208,0.0
2023.0,1.0,18.0,0.0,40.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.444,117.555,0.0,0.984,161.822,-0.003,0.002,23.438,145.616,148.875,145.616,0.0
2023.0,1.0,18.0,0.0,45.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.448,117.558,0.0,0.984,163.072,-0.003,0.002,23.438,146.002,150.839,146.002,0.0
2023.0,1.0,18.0,0.0,50.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.451,117.562,0.0,0.984,164.321,-0.003,0.002,23.438,146.364,152.837,146.364,0.0
2023.0,1.0,18.0,0.0,55.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.455,117.565,0.0,0.984,165.571,-0.003,0.002,23.438,146.703,154.867,146.703,0.0
2023.0,1.0,18.0,1.0,0.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.458,117.569,0.0,0.984,166.821,-0.003,0.002,23.438,147.016,156.928,147.016,0.0
2023.0,1.0,18.0,1.0,5.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.462,117.573,0.0,0.984,168.07,-0.003,0.002,23.438,147.304,159.018,147.304,0.0
2023.0,1.0,18.0,1.0,10.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.465,117.576,0.0,0.984,169.32,-0.003,0.002,23.438,147.566,161.135,147.566,0.0
2023.0,1.0,18.0,1.0,15.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.469,117.579,0.0,0.984,170.57,-0.003,0.002,23.438,147.8,163.279,147.8,0.0
2023.0,1.0,18.0,1.0,20.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.472,117.583,0.0,0.984,171.82,-0.003,0.002,23.438,148.007,165.445,148.007,0.0
2023.0,1.0,18.0,1.0,25.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.476,117.587,0.0,0.984,173.069,-0.003,0.002,23.438,148.185,167.632,148.185,0.0
2023.0,1.0,18.0,1.0,30.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.479,117.59,0.0,0.984,174.319,-0.003,0.002,23.438,148.335,169.837,148.335,0.0
2023.0,1.0,18.0,1.0,35.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.483,117.594,0.0,0.984,175.569,-0.003,0.002,23.438,148.455,172.056,148.455,0.0
2023.0,1.0,18.0,1.0,40.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.486,117.597,0.0,0.984,176.818,-0.003,0.002,23.438,148.546,174.288,148.546,0.0
2023.0,1.0,18.0,1.0,45.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.49,117.601,0.0,0.984,178.068,-0.003,0.002,23.438,148.607,176.528,148.607,0.0
2023.0,1.0,18.0,1.0,50.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.493,117.604,0.0,0.984,179.318,-0.003,0.002,23.438,148.638,178.773,148.638,0.0
2023.0,1.0,18.0,1.0,55.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.497,117.608,0.0,0.984,180.568,-0.003,0.002,23.438,148.638,181.021,148.638,0.0
2023.0,1.0,18.0,2.0,0.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.5,117.611,0.0,0.984,181.817,-0.003,0.002,23.438,148.609,183.266,148.609,0.0
2023.0,1.0,18.0,2.0,5.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.503,117.615,0.0,0.984,183.067,-0.003,0.002,23.438,148.549,185.506,148.549,0.0
2023.0,1.0,18.0,2.0,10.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.507,117.618,0.0,0.984,184.317,-0.003,0.002,23.438,148.46,187.739,148.46,0.0
2023.0,1.0,18.0,2.0,15.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.51,117.622,0.0,0.984,185.566,-0.003,0.002,23.438,148.341,189.959,148.341,0.0
2023.0,1.0,18.0,2.0,20.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.514,117.626,0.0,0.984,186.816,-0.003,0.002,23.438,148.193,192.165,148.193,0.0
2023.0,1.0,18.0,2.0,25.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.517,117.629,0.0,0.984,188.066,-0.003,0.002,23.438,148.016,194.353,148.016,0.0
2023.0,1.0,18.0,2.0,30.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.521,117.633,0.0,0.984,189.316,-0.003,0.002,23.438,147.81,196.52,147.81,0.0
2023.0,1.0,18.0,2.0,35.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.524,117.636,0.0,0.984,190.565,-0.003,0.002,23.438,147.577,198.664,147.577,0.0
2023.0,1.0,18.0,2.0,40.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.528,117.64,0.0,0.984,191.815,-0.003,0.002,23.438,147.316,200.783,147.316,0.0
2023.0,1.0,18.0,2.0,45.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.531,117.643,0.0,0.984,193.065,-0.003,0.002,23.438,147.03,202.875,147.03,0.0
2023.0,1.0,18.0,2.0,50.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.535,117.647,0.0,0.984,194.314,-0.003,0.002,23.438,146.717,204.937,146.717,0.0
2023.0,1.0,18.0,2.0,55.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.538,117.65,0.0,0.984,195.564,-0.003,0.002,23.438,146.38,206.969,146.38,0.0
2023.0,1.0,18.0,3.0,0.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.542,117.654,0.0,0.984,196.814,-0.003,0.002,23.438,146.018,208.968,146.018,0.0
2023.0,1.0,18.0,3.0,5.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.545,117.657,0.0,0.984,198.064,-0.003,0.002,23.438,145.634,210.935,145.634,0.0
2023.0,1.0,18.0,3.0,10.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.549,117.661,0.0,0.984,199.313,-0.003,0.002,23.438,145.226,212.867,145.226,0.0
2023.0,1.0,18.0,3.0,15.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.552,117.664,0.0,0.984,200.563,-0.003,0.002,23.438,144.797,214.764,144.797,0.0
2023.0,1.0,18.0,3.0,20.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.556,117.668,0.0,0.984,201.813,-0.003,0.002,23.438,144.348,216.627,144.348,0.0
2023.0,1.0,18.0,3.0,25.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.559,117.671,0.0,0.984,203.062,-0.003,0.002,23.438,143.878,218.455,143.878,0.0
2023.0,1.0,18.0,3.0,30.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.562,117.675,0.0,0.984,204.312,-0.003,0.002,23.438,143.39,220.247,143.39,0.0
2023.0,1.0,18.0,3.0,35.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.566,117.679,0.0,0.984,205.562,-0.003,0.002,23.438,142.883,222.004,142.883,0.0
2023.0,1.0,18.0,3.0,40.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.569,117.682,0.0,0.984,206.812,-0.003,0.002,23.438,142.359,223.727,142.359,0.0
2023.0,1.0,18.0,3.0,45.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.573,117.686,0.0,0.984,208.061,-0.003,0.002,23.438,141.819,225.415,141.819,0.0
2023.0,1.0,18.0,3.0,50.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.576,117.689,0.0,0.984,209.311,-0.003,0.002,23.438,141.262,227.069,141.262,0.0
2023.0,1.0,18.0,3.0,55.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.58,117.693,0.0,0.984,210.561,-0.003,0.002,23.438,140.691,228.69,140.691,0.0
2023.0,1.0,18.0,4.0,0.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.583,117.696,0.0,0.984,211.81,-0.003,0.002,23.438,140.106,230.278,140.106,0.0
2023.0,1.0,18.0,4.0,5.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.587,117.7,0.0,0.984,213.06,-0.003,0.002,23.438,139.507,231.835,139.507,0.0
2023.0,1.0,18.0,4.0,10.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.59,117.703,0.0,0.984,214.31,-0.003,0.002,23.438,138.895,233.36,138.895,0.0
2023.0,1.0,18.0,4.0,15.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.594,117.707,0.0,0.984,215.56,-0.003,0.002,23.438,138.271,234.856,138.271,0.0
2023.0,1.0,18.0,4.0,20.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.597,117.71,0.0,0.984,216.809,-0.003,0.002,23.438,137.636,236.322,137.636,0.0
2023.0,1.0,18.0,4.0,25.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.601,117.714,0.0,0.984,218.059,-0.003,0.002,23.438,136.989,237.76,136.989,0.0
2023.0,1.0,18.0,4.0,30.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.604,117.718,0.0,0.984,219.309,-0.003,0.002,23.438,136.333,239.171,136.333,0.0
2023.0,1.0,18.0,4.0,35.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.608,117.721,0.0,0.984,220.559,-0.003,0.002,23.438,135.667,240.555,135.667,0.0
2023.0,1.0,18.0,4.0,40.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.611,117.725,0.0,0.984,221.808,-0.003,0.002,23.438,134.992,241.914,134.992,0.0
2023.0,1.0,18.0,4.0,45.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.615,117.728,0.0,0.984,223.058,-0.003,0.002,23.438,134.309,243.248,134.309,0.0
2023.0,1.0,18.0,4.0,50.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.618,117.732,0.0,0.984,224.308,-0.003,0.002,23.438,133.617,244.559,133.617,0.0
2023.0,1.0,18.0,4.0,55.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.622,117.735,0.0,0.984,225.557,-0.003,0.002,23.438,132.918,245.847,132.918,0.0
2023.0,1.0,18.0,5.0,0.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.625,117.739,0.0,0.984,226.807,-0.003,0.002,23.438,132.212,247.113,132.212,0.0
2023.0,1.0,18.0,5.0,5.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.628,117.742,0.0,0.984,228.057,-0.003,0.002,23.438,131.5,248.358,131.5,0.0
2023.0,1.0,18.0,5.0,10.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.632,117.746,0.0,0.984,229.307,-0.003,0.002,23.438,130.781,249.584,130.781,0.0
2023.0,1.0,18.0,5.0,15.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.635,117.749,0.0,0.984,230.556,-0.003,0.002,23.438,130.056,250.79,130.056,0.0
2023.0,1.0,18.0,5.0,20.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.639,117.753,0.0,0.984,231.806,-0.003,0.002,23.438,129.327,251.978,129.327,0.0
2023.0,1.0,18.0,5.0,25.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.642,117.756,0.0,0.984,233.056,-0.003,0.002,23.438,128.592,253.149,128.592,0.0
2023.0,1.0,18.0,5.0,30.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.646,117.76,0.0,0.984,234.305,-0.003,0.002,23.438,127.853,254.303,127.853,0.0
2023.0,1.0,18.0,5.0,35.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.649,117.763,0.0,0.984,235.555,-0.003,0.002,23.438,127.11,255.441,127.11,0.0
2023.0,1.0,18.0,5.0,40.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.653,117.767,0.0,0.984,236.805,-0.003,0.002,23.438,126.363,256.564,126.363,0.0
2023.0,1.0,18.0,5.0,45.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.656,117.77,0.0,0.984,238.055,-0.003,0.002,23.438,125.612,257.673,125.612,0.0
2023.0,1.0,18.0,5.0,50.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.66,117.774,0.0,0.984,239.304,-0.003,0.002,23.438,124.859,258.768,124.859,0.0
2023.0,1.0,18.0,5.0,55.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.663,117.778,0.0,0.984,240.554,-0.003,0.002,23.438,124.102,259.85,124.102,0.0
2023.0,1.0,18.0,6.0,0.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.667,117.781,0.0,0.984,241.804,-0.003,0.002,23.438,123.343,260.921,123.343,0.0
2023.0,1.0,18.0,6.0,5.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.67,117.785,0.0,0.984,243.053,-0.003,0.002,23.438,122.582,261.979,122.582,0.0
2023.0,1.0,18.0,6.0,10.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.674,117.788,0.0,0.984,244.303,-0.003,0.002,23.438,121.818,263.026,121.818,0.0
2023.0,1.0,18.0,6.0,15.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.677,117.792,0.0,0.984,245.553,-0.003,0.002,23.438,121.053,264.064,121.053,0.0
2023.0,1.0,18.0,6.0,20.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.681,117.795,0.0,0.984,246.803,-0.003,0.002,23.438,120.287,265.091,120.287,0.0
2023.0,1.0,18.0,6.0,25.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.684,117.799,0.0,0.984,248.052,-0.003,0.002,23.438,119.519,266.109,119.519,0.0
2023.0,1.0,18.0,6.0,30.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.688,117.802,0.0,0.984,249.302,-0.003,0.002,23.438,118.751,267.119,118.751,0.0
2023.0,1.0,18.0,6.0,35.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.691,117.806,0.0,0.984,250.552,-0.003,0.002,23.438,117.981,268.12,117.981,0.0
2023.0,1.0,18.0,6.0,40.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.694,117.809,0.0,0.984,251.801,-0.003,0.002,23.438,117.212,269.114,117.212,0.0
2023.0,1.0,18.0,6.0,45.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.698,117.813,0.0,0.984,253.051,-0.003,0.002,23.438,116.442,270.101,116.442,0.0
2023.0,1.0,18.0,6.0,50.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.701,117.817,0.0,0.984,254.301,-0.003,0.002,23.438,115.672,271.082,115.672,0.0
2023.0,1.0,18.0,6.0,55.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.705,117.82,0.0,0.984,255.551,-0.003,0.002,23.438,114.902,272.056,114.902,0.0
2023.0,1.0,18.0,7.0,0.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.708,117.823,0.0,0.984,256.8,-0.003,0.002,23.438,114.133,273.025,114.133,0.0
2023.0,1.0,18.0,7.0,5.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.712,117.827,0.0,0.984,258.05,-0.003,0.002,23.438,113.365,273.988,113.365,0.0
2023.0,1.0,18.0,7.0,10.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.715,117.831,0.0,0.984,259.3,-0.003,0.002,23.438,112.597,274.947,112.597,0.0
2023.0,1.0,18.0,7.0,15.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.719,117.834,0.0,0.984,260.55,-0.003,0.002,23.438,111.831,275.902,111.831,0.0
2023.0,1.0,18.0,7.0,20.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.722,117.838,0.0,0.984,261.799,-0.003,0.002,23.438,111.065,276.853,111.065,0.0
2023.0,1.0,18.0,7.0,25.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.726,117.841,0.0,0.984,263.049,-0.003,0.002,23.438,110.302,277.8,110.302,0.0
2023.0,1.0,18.0,7.0,30.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.729,117.845,0.0,0.984,264.299,-0.003,0.002,23.438,109.54,278.744,109.54,0.0
2023.0,1.0,18.0,7.0,35.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.733,117.848,0.0,0.984,265.548,-0.003,0.002,23.438,108.78,279.686,108.78,0.0
2023.0,1.0,18.0,7.0,40.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.736,117.852,0.0,0.984,266.798,-0.003,0.002,23.438,108.022,280.625,108.022,0.0
2023.0,1.0,18.0,7.0,45.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.74,117.855,0.0,0.984,268.048,-0.003,0.002,23.438,107.266,281.562,107.266,0.0
2023.0,1.0,18.0,7.0,50.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.743,117.859,0.0,0.984,269.298,-0.003,0.002,23.438,106.513,282.498,106.513,0.0
2023.0,1.0,18.0,7.0,55.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.747,117.862,0.0,0.984,270.547,-0.003,0.002,23.438,105.763,283.432,105.763,0.0
2023.0,1.0,18.0,8.0,0.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.75,117.866,0.0,0.984,271.797,-0.003,0.002,23.438,105.016,284.366,105.016,0.0
2023.0,1.0,18.0,8.0,5.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.753,117.87,0.0,0.984,273.047,-0.003,0.002,23.438,104.271,285.299,104.271,0.0
2023.0,1.0,18.0,8.0,10.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.757,117.873,0.0,0.984,274.296,-0.003,0.002,23.438,103.53,286.231,103.53,0.0
2023.0,1.0,18.0,8.0,15.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.76,117.877,0.0,0.984,275.546,-0.003,0.002,23.438,102.793,287.164,102.793,0.0
2023.0,1.0,18.0,8.0,20.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.764,117.88,0.0,0.984,276.796,-0.003,0.002,23.438,102.059,288.097,102.059,0.0
2023.0,1.0,18.0,8.0,25.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.767,117.884,0.0,0.984,278.046,-0.003,0.002,23.438,101.329,289.03,101.329,0.0
2023.0,1.0,18.0,8.0,30.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.771,117.887,0.0,0.984,279.295,-0.003,0.002,23.438,100.603,289.965,100.603,0.0
2023.0,1.0,18.0,8.0,35.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.774,117.891,0.0,0.984,280.545,-0.003,0.002,23.438,99.882,290.901,99.882,0.0
2023.0,1.0,18.0,8.0,40.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.778,117.894,0.0,0.984,281.795,-0.003,0.002,23.438,99.165,291.838,99.165,0.0
2023.0,1.0,18.0,8.0,45.0,0.0,2.0,0.0,69.18,4.35,52.0,17000.0,87.87,2.17,0.0,0.0,0.65,1.0,2459962.781,117.898,0.0,0.984,283.044,-0.003,0.002,23.438,98.452,292.777,98.452,0.0
